timestamp,plate_text,crop_file,frame_file
20260704_113125,2020202,/app/anpr_results/crops/20260704_113125_3489_0_0.jpg,/app/anpr_results/frames/20260704_113125_3489_0_0.jpg
20260704_113125,2020204,/app/anpr_results/crops/20260704_113125_3490_0_0.jpg,/app/anpr_results/frames/20260704_113125_3490_0_0.jpg
20260704_113125,202020204,/app/anpr_results/crops/20260704_113125_3491_0_0.jpg,/app/anpr_results/frames/20260704_113125_3491_0_0.jpg
20260704_113125,20202,/app/anpr_results/crops/20260704_113125_3492_0_0.jpg,/app/anpr_results/frames/20260704_113125_3492_0_0.jpg
20260704_113126,20204,/app/anpr_results/crops/20260704_113126_3496_0_0.jpg,/app/anpr_results/frames/20260704_113126_3496_0_0.jpg
20260704_113127,020202020202,/app/anpr_results/crops/20260704_113127_3499_0_0.jpg,/app/anpr_results/frames/20260704_113127_3499_0_0.jpg
20260704_113127,2020204,/app/anpr_results/crops/20260704_113127_3500_0_0.jpg,/app/anpr_results/frames/20260704_113127_3500_0_0.jpg
20260704_113127,202020202,/app/anpr_results/crops/20260704_113127_3501_0_0.jpg,/app/anpr_results/frames/20260704_113127_3501_0_0.jpg
20260704_113127,202020204,/app/anpr_results/crops/20260704_113127_3502_0_0.jpg,/app/anpr_results/frames/20260704_113127_3502_0_0.jpg
20260704_113127,20202020202,/app/anpr_results/crops/20260704_113127_3503_0_0.jpg,/app/anpr_results/frames/20260704_113127_3503_0_0.jpg
20260704_113128,202020202020,/app/anpr_results/crops/20260704_113128_3504_0_0.jpg,/app/anpr_results/frames/20260704_113128_3504_0_0.jpg
20260704_113128,2020202,/app/anpr_results/crops/20260704_113128_3505_0_0.jpg,/app/anpr_results/frames/20260704_113128_3505_0_0.jpg
20260704_113128,202020202,/app/anpr_results/crops/20260704_113128_3506_0_0.jpg,/app/anpr_results/frames/20260704_113128_3506_0_0.jpg
20260704_113128,202,/app/anpr_results/crops/20260704_113128_3507_0_0.jpg,/app/anpr_results/frames/20260704_113128_3507_0_0.jpg
20260704_113128,202020202020,/app/anpr_results/crops/20260704_113128_3509_0_0.jpg,/app/anpr_results/frames/20260704_113128_3509_0_0.jpg
20260704_113129,202020202024,/app/anpr_results/crops/20260704_113129_3510_0_0.jpg,/app/anpr_results/frames/20260704_113129_3510_0_0.jpg
20260704_113129,202020204,/app/anpr_results/crops/20260704_113129_3512_0_0.jpg,/app/anpr_results/frames/20260704_113129_3512_0_0.jpg
20260704_113129,202020202,/app/anpr_results/crops/20260704_113129_3513_0_0.jpg,/app/anpr_results/frames/20260704_113129_3513_0_0.jpg
20260704_113129,2020204,/app/anpr_results/crops/20260704_113129_3514_0_0.jpg,/app/anpr_results/frames/20260704_113129_3514_0_0.jpg
20260704_113130,202020202,/app/anpr_results/crops/20260704_113130_3515_0_0.jpg,/app/anpr_results/frames/20260704_113130_3515_0_0.jpg
20260704_113130,20202020202,/app/anpr_results/crops/20260704_113130_3516_0_0.jpg,/app/anpr_results/frames/20260704_113130_3516_0_0.jpg
20260704_113130,202020202,/app/anpr_results/crops/20260704_113130_3517_0_0.jpg,/app/anpr_results/frames/20260704_113130_3517_0_0.jpg
20260704_113130,20202,/app/anpr_results/crops/20260704_113130_3519_0_0.jpg,/app/anpr_results/frames/20260704_113130_3519_0_0.jpg
20260704_113130,202020202,/app/anpr_results/crops/20260704_113130_3520_0_0.jpg,/app/anpr_results/frames/20260704_113130_3520_0_0.jpg
20260704_113131,2020204,/app/anpr_results/crops/20260704_113131_3523_0_0.jpg,/app/anpr_results/frames/20260704_113131_3523_0_0.jpg
20260704_113131,20202020202,/app/anpr_results/crops/20260704_113131_3524_0_0.jpg,/app/anpr_results/frames/20260704_113131_3524_0_0.jpg
20260704_113131,202020202020,/app/anpr_results/crops/20260704_113131_3525_0_0.jpg,/app/anpr_results/frames/20260704_113131_3525_0_0.jpg
20260704_113132,20202020202,/app/anpr_results/crops/20260704_113132_3526_0_0.jpg,/app/anpr_results/frames/20260704_113132_3526_0_0.jpg
20260704_113132,20202,/app/anpr_results/crops/20260704_113132_3527_0_0.jpg,/app/anpr_results/frames/20260704_113132_3527_0_0.jpg
20260704_113132,202020204,/app/anpr_results/crops/20260704_113132_3528_0_0.jpg,/app/anpr_results/frames/20260704_113132_3528_0_0.jpg
20260704_113132,20202020204,/app/anpr_results/crops/20260704_113132_3529_0_0.jpg,/app/anpr_results/frames/20260704_113132_3529_0_0.jpg
20260704_113132,202020202,/app/anpr_results/crops/20260704_113132_3530_0_0.jpg,/app/anpr_results/frames/20260704_113132_3530_0_0.jpg
20260704_113133,20202020204,/app/anpr_results/crops/20260704_113133_3534_0_0.jpg,/app/anpr_results/frames/20260704_113133_3534_0_0.jpg
20260704_113133,20202,/app/anpr_results/crops/20260704_113133_3535_0_0.jpg,/app/anpr_results/frames/20260704_113133_3535_0_0.jpg
20260704_113134,2020202,/app/anpr_results/crops/20260704_113134_3536_0_0.jpg,/app/anpr_results/frames/20260704_113134_3536_0_0.jpg
20260704_113134,202020202020,/app/anpr_results/crops/20260704_113134_3537_0_0.jpg,/app/anpr_results/frames/20260704_113134_3537_0_0.jpg
20260704_113134,20202020204,/app/anpr_results/crops/20260704_113134_3538_0_0.jpg,/app/anpr_results/frames/20260704_113134_3538_0_0.jpg
20260704_113134,2020202,/app/anpr_results/crops/20260704_113134_3539_0_0.jpg,/app/anpr_results/frames/20260704_113134_3539_0_0.jpg
20260704_113134,202020202,/app/anpr_results/crops/20260704_113134_3540_0_0.jpg,/app/anpr_results/frames/20260704_113134_3540_0_0.jpg
20260704_113135,2020202,/app/anpr_results/crops/20260704_113135_3543_0_0.jpg,/app/anpr_results/frames/20260704_113135_3543_0_0.jpg
